学号,路径,路程/km,高铁|火车,时间/h,没买到想买的票,可支配收入/RMB,自付|家庭报销,票价/RMB,注重舒适程度,注重时间成本
9171XXXX0129,南京–蚌埠,184,1,0.83,0,1600,1,79,0,0
9181XXXX0137,南京-成都,1866,1,9.78,0,2000,0,602,1,1
9171XXXX1205,南京-长沙,780,1,5.12,1,1000,1,375,1,0
9181XXXX0311,南京-宿州,274,1,1,0,2000,0,119.5,1,1
9181XXXX0117,南京-衡阳,1282,0,21.45,0,1500,1,79,0,0
9171XXXX0306,南京-长兴,201,1,0.93,0,1500,1,76,0,1
9161XXXX0113,南京-昆明,2683,1,9.5,0,1000,0,650,1,1
9181XXXX0652,南京-福州,1169,1,5.47,0,1500,0,509,1,1
9171XXXX0327,南京-宁波,411,1,3.15,0,2000,1,166,1,1
9181XXXX0208,南京-台州,767,0,4.32,0,1500,1,179,1,0
9181XXXX0439,南京-本溪,1621,1,9,0,600,0,651,1,1
9181XXXX0219,南京-德州,785,1,2.83,0,1500,1,203.5,0,1
9181XXXX0130,南京-盐城,322,1,2,0,1000,1,150,1,1
9181XXXX0632,南京-瑞安,709,1,4.65,0,2000,1,220,1,1
9181XXXX0120,南京-重庆,1361,1,9.68,0,1000,1,352.5,1,1
9171XXXX1110,南京-株洲,1148,0,14.6,0,10000,0,124,0,0
9181XXXX0117,南京-温州,866,1,4,0,1200,0,275,1,1
9181XXXX0119,南京-西安,1208,1,5,1,1500,1,540,1,1
9181XXXX0213,南京-南充,1651,0,10,0,1500,0,452,1,0
9171XXXX1001,南京-南通,284,0,4.33,1,2000,0,100,0,1
9181XXXX0105,南京-南昌,585,0,9.65,0,1200,1,81,1,1
9171XXXX0101,南京-新乡,777,0,10.15,0,1500,1,175,1,1
9181XXXX0632,南京-瑞安,709,1,4.65,0,2000,1,220,1,1
9181XXXX0221,南京-赣州,1629,0,18.52,0,1500,0,254.5,0,1
9181XXXX0128,南京-泰安,564,1,1.67,0,1200,0,170.5,0,1
9181XXXX0118,南京-汉中,1423,1,7.5,0,1500,0,475,1,1
9181XXXX0123,南京-重庆,1361,1,10,0,1500,0,480,1,1
9181XXXX0219,南京-太原,1600,1,7.08,1,1500,1,562,0,1
9171XXXX1131,南京-商城,380,0,7.3,0,1500,1,69,1,1
9181XXXX0211,南京-成都,1660,1,11.9,0,2500,0,566,1,1
9181XXXX0207,南京-北京,1162,1,4.5,0,1000,1,445,0,1
9181XXXX0229,南京-莆田,1333,1,6.5,0,1500,1,435.5,1,1
9171XXXX0436,南京-盐城,322,0,3,0,1200,0,90,1,1
9171XXXX0142,南京-徐州,348,1,3.42,0,2000,1,102,1,1
9171XXXX0122,南京-巩义,720,0,12,0,1300,0,178,1,0
9181XXXX0131,南京-安庆,257,0,1.9,0,2000,1,95,0,0
9171XXXX0426,南京-泰安,542,0,2.2,0,1500,0,254,1,1
9181XXXX0122,南京-义乌,415,1,2,1,1200,1,167.5,0,1
9171XXXX0250,南京-昆明,2683,0,38.77,0,4000,1,278.5,1,1
9171XXXX0114,南京-嘉兴,395,1,2.23,0,1600,1,172.5,1,1
9171XXXX0530,南京-石家庄,1111,1,5.1,0,1600,0,494,1,1
9181XXXX0706,南京-常州,136,1,0.65,0,2000,0,64.5,1,1
9171XXXX0331,南京-长春,2013,1,9.38,0,2500,0,766,1,1
9171XXXX0221,南京-溧阳,108,1,0.67,0,1200,0,45,0,1
9181XXXX0220,南京-青岛,980,1,5,0,1500,0,398.5,1,1
9181XXXX0121,南京-杭州,471,1,1.58,0,2000,0,91,1,1
9181XXXX0618,南京-九江,450,0,8,1,2000,1,120,1,1
